product_no,pruduct_name,original_name,original_class,manufact_no,class_no,class_month,sales_cost,purchase_cost,thumbnail_img,materials,size
54361,넨도로이드 No.2380 아다치 키요시,30살까지 동정이면 마법사가 될 수 있대,G999,1,10,24년 08월,55000,38500,https://figurepresso.com/web/product/big/202401/8dd86c51c9400beb82b77fa97e842368.jpg,PVC & ABS,약 100mm
54363,넨도로이드 No.2381 쿠로사와 유이치,30살까지 동정이면 마법사가 될 수 있대,G999,1,10,24년 08월,55000,38500,https://figurepresso.com/web/product/big/202401/c47f02f04b7d4f478346ff7404199390.jpg,PVC & ABS,약 100mm
43890,나카노 이치카 웨딩 Ver.1/7,오등분의 신부,H008,43,10,24년 07월,315000,220500,https://figurepresso.com/web/product/big/202306/380812dcb3c26520b9204ee59e19930f.jpg,PVC & ABS,약 255mm
37882,Aqua Float Girls 피규어 나카노 니노,오등분의 신부,H008,21,30,,22000,15399,https://figurepresso.com/web/product/big/202302/75dc56c75c2239c5c3c04bd431a304cd.jpg,PVC & ABS,
38309,Aqua Float Girls 나카노 미쿠,오등분의 신부,H008,21,30,,24000,16800,https://figurepresso.com/web/product/big/202211/57072808fad3c2f8bad2ea8673a2459c.jpg,PVC & ABS,약 100mm
39157,Aqua Float Girls 나카노 이츠키,오등분의 신부,H008,21,30,,25000,17500,https://figurepresso.com/web/product/big/202301/048145f66cd9271c382a5e030928f369.png,PVC & ABS,약 100mm
16520,5등분의 신부 나카노 미쿠 1/8,오등분의 신부,H008,13,30,,175000,122499,https://figurepresso.com/web/product/big/201906/9da8476bf0fe4b6294a12aa5213e243d.jpg,PVC & ABS,약 190mm
41541,시부야 스크램블 피규어 나카노 미쿠 Floral Dress Ver. 1/7,오등분의 신부,H008,9,10,24년 04월,287000,200900,https://figurepresso.com/web/product/big/202305/693940a6b8e460744a7123c553166078.jpg,PVC & ABS,약 높이242mm×폭187mm×깊이133mm
34481,나카노 니노 백무구 Ver. 1/7,오등분의 신부,H008,7,30,,257000,179900,https://figurepresso.com/web/product/big/202205/e3b2b45ce0838db3e2e3fa543a53bbda.png,PVC & ABS,약 225mm
34482,나카노 미쿠 백무구 Ver. 1/7,오등분의 신부,H008,7,30,,257000,179900,https://figurepresso.com/web/product/big/202205/5b2a93f96141d3f4e2ec3a097206a48a.png,PVC & ABS,약 225mm
39690,나카노 이츠키,오등분의 신부,H008,7,30,,65000,45500,https://figurepresso.com/web/product/big/202302/77a2f4f0070d583c909b780074d39d62.jpg,PVC & ABS,약 220mm
24964,5등분의 신부 2 PM 프리미엄 피규어 나카노 니노,오등분의 신부,H008,6,30,,22000,15399,https://figurepresso.com/web/product/big/202107/7badc2611407ac8f6a1b104dbce741a1.jpg,PVC & ABS,약 190mm
39393,PM 프리미엄 쵸코노세 피규어 나카노 미쿠,오등분의 신부,H008,6,30,,25000,17500,https://figurepresso.com/web/product/big/202306/5c2a6c59145c9ef4b7468f53828f0a86.jpg,PVC & ABS,약 140mm
53102,쵸코노세 PM 피규어 나카노 이치카,오등분의 신부,H008,6,10,24년 06월,25000,17500,https://figurepresso.com/web/product/big/202312/28d3688dc073cd799448b0d7e98469ae.png,PVC & ABS,
54506,PM 프리미엄 쵸코노세 피규어 나카노 니노,오등분의 신부,H008,6,10,24년 07월,25000,17500,https://figurepresso.com/web/product/big/202401/95d2bf763aa59d68e4d062dc8603e855.jpg,PVC & ABS,
45786,Trio-Try-iT 피규어 나카노 미쿠 바니 Ver.,오등분의 신부,H008,3,30,,27000,18900,https://figurepresso.com/web/product/big/202311/3152d73bc93ea868351ad1d5a0e1b9bf.png,PVC & ABS,약 235mm
46935,Trio-Try-iT 피규어 나카노 요츠바 바니 Ver.,오등분의 신부,H008,3,20,,23000,16099,https://figurepresso.com/web/product/big/202312/14ee31b614d7e0aebd056b03cf821d34.png,PVC & ABS,약 220mm
49934,누들 스토퍼 피규어 나카노 니노 룸웨어 Ver.,오등분의 신부,H008,3,10,24년 02월,23000,16099,https://figurepresso.com/web/product/big/202401/45f1e87103468bc1effe9277e72bddc3.png,PVC & ABS,약 100mm
51058,누들 스토퍼 피규어 나카노 이츠키 느긋한 룸웨어 Ver.,오등분의 신부,H008,3,10,24년 04월,23000,16099,https://figurepresso.com/web/product/big/202310/ea37a57b172befc38b37de5d2baa5869.png,PVC & ABS,
51508,Fig a la mode 니노,오등분의 신부,H008,3,10,24년 06월,70000,49000,https://figurepresso.com/web/product/big/202310/4876e4c9dcfef3072fec5e0d31377f0d.png,PVC & ABS,약 120mm
53315,누들 스토퍼 피규어 나카노 요츠바 라운지 웨어 Ver.,오등분의 신부,H008,3,10,24년 06월,23000,16099,https://figurepresso.com/web/product/big/202312/ea89fb6d02cca523af6b0933c0f674e1.png,PVC & ABS,
53323,나카노 이치카 차이나 프린세스 Ver.,오등분의 신부,H008,3,10,24년 06월,26000,18200,https://figurepresso.com/web/product/big/202312/f413684197bc62802ddb38313c158dbb.png,PVC & ABS,
53324,나카노 니노 차이나 프린세스 Ver.,오등분의 신부,H008,3,10,24년 06월,26000,18200,https://figurepresso.com/web/product/big/202312/dbe59c195181709cb93c5d2345d61f51.png,PVC & ABS,
53325,나카노 미쿠 차이나 프린세스 Ver.,오등분의 신부,H008,3,10,24년 06월,26000,18200,https://figurepresso.com/web/product/big/202312/9075372ad32f42cce6b3b097d36d9828.png,PVC & ABS,
53326,나카노 요츠바 차이나 프린세스 Ver.,오등분의 신부,H008,3,10,24년 06월,26000,18200,https://figurepresso.com/web/product/big/202312/a34e8df6dfb3f0dd48e1d601556e486a.png,PVC & ABS,
53327,나카노 이츠키 차이나 프린세스 Ver.,오등분의 신부,H008,3,10,24년 06월,26000,18200,https://figurepresso.com/web/product/big/202312/08ed366603873df09ef6286642e009a0.png,PVC & ABS,
41382,Celestial vivi 나카노 이츠키 School Style Ver.,오등분의 신부,H008,2,30,,20000,14000,https://figurepresso.com/web/product/big/202308/517550b1abbe899a3defe302d700f1af.png,PVC & ABS,약 100mm
41853,Celestial vivi 나카노 미쿠 School style Ver.,오등분의 신부,H008,2,30,,21000,14699,https://figurepresso.com/web/product/big/202310/490e8d46b85015d505830ad444bcb520.png,PVC & ABS,약 120mm
44623,행복의 매듭 A상 나카노 이치카 일본풍옷 피규어,오등분의 신부,H008,2,30,,47000,32900,https://figurepresso.com/web/product/big/202307/c91bd878526f60c7955e14e1018b1f5b.png,PVC & ABS,약 180mm
44624,행복의 매듭 E상 나카노 이츠키 일본풍옷 피규어,오등분의 신부,H008,2,30,,55000,38500,https://figurepresso.com/web/product/big/202307/21e302b04c81a1a5017f2e7dcd3d6d68.png,PVC & ABS,약 180mm
52038,Celestial vivi 나카노 이치카,오등분의 신부,H008,2,10,24년 05월,23000,16099,https://figurepresso.com/web/product/big/202311/8288f79aff074577fc9e3d6bea2b3e36.png,PVC & ABS,
